MASTER_CAMPAIGN_ID,MEDIA_TYPE,OBJ_PRIORITY,OBJECTIVE,METRIC,PRODUCT,TIMEPERIOD,EXPOSED
"i2c1507076a","JS Magazine1",3,"Grow awareness","OTS - unique","Offer",2,125323.000000
"i2c1509106a2","Total",3,"Grow awareness","OTS - unique","Offer",2,6758545.000000
"i2c1509010a","Total",3,"Grow awareness","OTS         ","Offer",2,520358.000000
"i2c1510108a","Total",1,"Grow awareness","OTS         ","Offer",2,25546602.000000
"i2c1508204a","Total",2,"Grow awareness","OTS - unique","Offer",2,1894911.000000
"i2cLYNX111","Total",3,"Grow awareness","OTS - unique","Offer",2,1602676.000000
"i2cLYNX333","Total",3,"Grow awareness","OTS         ","Offer",2,11335716.000000
"i2c1510020a2","Total",1,"Grow awareness","OTS         ","Offer",2,26449234.000000
"i2c1535KE0","Total",5,"Grow awareness","OTS - unique","Offer",2,434325.000000
"i2c1507203a","Total",3,"Grow awareness","OTS         ","Offer",2,8202562.000000
"i2cLYNX888","TV Wall1",3,"Grow awareness","OTS - unique","Offer",2,3957204.000000
"i2c1507141a","Trolleys1",2,"Grow awareness","OTS - unique","Offer",2,980411.000000
"i2c1511135a","Six Sheets1",2,"Grow awareness","OTS         ","Offer",2,4506949.000000
"i2cLYNX666","TV Wall1",3,"Grow awareness","OTS         ","Offer",2,22662184.000000
"i2c1510020a","Trolleys1",1,"Grow awareness","OTS         ","Offer",2,7968824.000000
"i2c1510020a","Trolleys1",1,"Grow awareness","OTS - unique","Offer",2,1755090.000000
"i2c1510108a","Instore Sampling5",1,"Grow awareness","OTS         ","Offer",2,5784.000000
"i2c1510108a","Instore Sampling4",1,"Grow awareness","OTS - unique","Offer",2,9512.000000
"i2c1507161a","JS Magazine1",1,"Grow awareness","OTS         ","Offer",2,330987.000000
"i2cLYNX222","Total",3,"Grow awareness","OTS         ","Offer",2,7621859.000000
"i2c1511028a","Total",2,"Grow awareness","OTS - unique","Offer",2,560807.000000
"i2c1509067a","Total",1,"Grow awareness","OTS         ","Offer",2,209341.000000
"i2c1511103a","Total",3,"Grow awareness","OTS - unique","Offer",2,1308820.000000
"i2c1509106a2","Total",3,"Grow awareness","OTS         ","Offer",2,66016317.000000
"i2c1511103a","Total",3,"Grow awareness","OTS         ","Offer",2,4820190.000000
"i2cLYNX555","Total",3,"Grow awareness","OTS         ","Offer",2,18942391.000000
"i2c1509010a","Total",3,"Grow awareness","OTS - unique","Offer",2,277208.000000
"i2c1510046a","Total",1,"Grow awareness","OTS - unique","Offer",2,439071.000000
"i2c1507161a","Total",1,"Grow awareness","OTS - unique","Offer",2,5182531.000000
"i2c1510020a","Total",1,"Grow awareness","OTS - unique","Offer",2,5177676.000000
"i2c1510108a","Total",1,"Grow awareness","OTS - unique","Offer",2,5572093.000000
"i2c1508013a","Total",3,"Grow awareness","OTS         ","Offer",2,2844721.000000
"i2c1507141a","Total",2,"Grow awareness","OTS - unique","Offer",2,1882312.000000
"i2c1508107a","Total",2,"Grow awareness","OTS         ","Offer",2,6942083.000000
"i2c1510020a","Total",1,"Grow awareness","OTS         ","Offer",2,26613572.000000
"i2cLYNX888","Total",3,"Grow awareness","OTS         ","Offer",2,30309163.000000
"i2c1508186a2","Total",1,"Grow awareness","OTS         ","Offer",2,25196228.000000
"i2c1509010a","Instore Sampling1",3,"Grow awareness","OTS         ","Offer",2,520358.000000
"i2c1509010a","Instore Sampling1",3,"Grow awareness","OTS - unique","Offer",2,277208.000000
"i2c1511005a","Six Sheets1",1,"Grow awareness","OTS - unique","Offer",2,1213627.000000
"i2c1510116a","Instore Sampling5",2,"Grow awareness","OTS         ","Offer",2,4431.000000
"i2c1510116a","Instore Sampling2",2,"Grow awareness","OTS - unique","Offer",2,115258.000000
"i2c1509014a","Instore Sampling1",3,"Grow awareness","OTS         ","Offer",2,622908.000000
"i2c1508186a","Entrance Gates1",1,"Grow awareness","OTS         ","Offer",2,17055668.000000
"i2c1508179a","Instore Sampling1",1,"Grow awareness","OTS         ","Offer",2,182565.000000
"i2c1601020a","Instore Sampling2",1,"Grow awareness","OTS - unique","Offer",2,69597.000000
"i2c1507156a","Six Sheets1",2,"Grow awareness","OTS         ","Offer",2,5682336.000000
"i2c1535KE0","JS Magazine1",5,"Grow awareness","OTS         ","Offer",2,330987.000000
"i2cLYNX777","TV Wall1",3,"Grow awareness","OTS - unique","Offer",2,3788465.000000
"i2c1511028a","Six Sheets1",2,"Grow awareness","OTS         ","Offer",2,2019506.000000
"i2c1508040a","Six Sheets1",2,"Grow awareness","OTS         ","Offer",2,13685998.000000
"i2c1509030a","Six Sheets1",1,"Grow awareness","OTS - unique","Offer",2,1580941.000000
"i2c1507076a","Instore Sampling1",3,"Grow awareness","OTS         ","Offer",2,228526.000000
"i2c1507076a","Instore Sampling3",3,"Grow awareness","OTS - unique","Offer",2,95033.000000
